Title,Genre,IMDB_Rating,Runtime,Year
Miss Jerry,Romance,5.2,45,1894
The Corbett-Fitzsimmons Fight,"Documentary,News,Sport",5.3,100,1897
Soldiers of the Cross,"Biography,Drama",5.5,40,1900
The Story of the Kelly Gang,"Action,Adventure,Biography",6.0,70,1906
The Prodigal Son,Drama,5.1,90,1907
The Fairylogue and Radio-Plays,"Adventure,Fantasy",5.0,120,1908
Locura de amor,Drama,4.4,45,1909
Don Juan de Serrallonga,"Adventure,Drama",3.2,58,1910
The Life of Moses,"Biography,Drama,Family",5.2,50,1909
The Battle of Trafalgar,War,7.9,51,1911
In the Prime of Life,Drama,5.9,52,1911
The Four Devils,Drama,6.6,35,1911
"Les Misérables, Part 1: Jean Valjean",Drama,5.9,60,1913
Oedipus Rex,Drama,5.5,56,1911
Den sorte drøm,Drama,5.8,53,1911
Nell Gwynne,"Biography,Drama,History",3.6,50,1911
The Traitress,Drama,5.8,48,1911
The Adventures of Lieutenant Petrosino,Drama,4.6,47,1912
Anfisa,Drama,6.0,45,1912
Anny - Story of a Prostitute,"Drama,Romance",4.6,68,1912
Cleopatra,"Drama,History",5.1,100,1912
Dante's Inferno,"Adventure,Drama,Fantasy",7.0,71,1911
The Great Circus Catastrophe,Drama,5.9,45,1912
The Flying Circus,Drama,6.5,46,1912
From the Manger to the Cross,"Biography,Drama",5.9,71,1912
Passion,"Biography,Drama,Romance",6.7,113,1919
Quo Vadis?,"Drama,History",6.1,120,1913
The Independence of Romania,"History,War",6.3,120,1912
The Life and Death of King Richard III,Drama,5.7,55,1912
The Black Chancellor,Drama,5.9,48,1912
Saved in Mid-Air,Drama,4.9,60,1912
What Happened to Mary,"Action,Drama,Thriller",5.8,150,1912
Zigomar contre Nick Carter,"Crime,Thriller",5.9,48,1912
The Adventures of Kathlyn,Adventure,5.4,300,1913
Der Andere,"Drama,Thriller",5.4,48,1913
Arizona,"Drama,Western",7.0,45,1913
The Heir to Skjoldborg,Drama,5.6,50,1914
